Score: 0 | Time: 2024-07-12 21:22:52
Score: 0 | Time: 2024-07-12 21:22:54
Score: 0 | Time: 2024-07-12 21:22:57
Score: 0 | Time: 2024-07-12 21:23:31
Score: 1 | Time: 2024-07-12 21:31:13
Score: 0 | Time: 2024-07-12 21:42:14
Score: 0 | Time: 2024-07-12 21:43:47
Score: 1 | Time: 2024-07-13 04:15:59
Score: 0 | Time: 2024-07-13 04:16:02
Score: 0 | Time: 2024-07-13 04:16:05
Score: 0 | Time: 2024-07-13 04:18:33
Score: 0 | Time: 2024-07-13 04:18:38
Score: 0 | Time: 2024-07-13 04:18:40
Score: 0 | Time: 2024-07-13 04:18:42
Score: 0 | Time: 2024-07-13 04:18:45
Score: 0 | Time: 2024-07-13 04:18:49
Score: 0 | Time: 2024-07-13 04:18:52
Score: 0 | Time: 2024-07-13 05:09:46
Score: 0 | Time: 2024-07-13 05:13:40
Score: 0 | Time: 2024-07-13 05:30:35
Score: 0 | Time: 2024-07-13 05:30:36
Score: 0 | Time: 2024-07-13 05:30:41
Score: 0 | Time: 2024-07-13 05:40:04
Score: 0 | Time: 2024-07-13 05:40:09
Score: 1 | Time: 2024-07-14 12:23:11
Score: 0 | Time: 2024-07-14 12:23:13
Score: 1 | Time: 2024-07-14 12:23:15
Score: 0 | Time: 2024-07-15 23:27:13
Score: 0 | Time: 2024-07-16 01:25:43
Score: 0 | Time: 2024-07-16 01:25:50
Score: 0 | Time: 2024-07-16 01:27:25
Score: 0 | Time: 2024-07-16 01:27:32
Score: 0 | Time: 2024-07-16 01:27:34
Score: 0 | Time: 2024-07-16 01:27:41
Score: 0 | Time: 2024-07-16 01:27:44
Score: 1 | Time: 2024-07-16 01:27:54
Score: 0 | Time: 2024-07-16 01:27:58
Score: 0 | Time: 2024-07-16 01:28:04
Score: 0 | Time: 2024-07-16 01:28:07
Score: 0 | Time: 2024-07-16 01:28:13
Score: 0 | Time: 2024-07-16 01:28:21
Score: 0 | Time: 2024-07-16 01:28:54
Score: 0 | Time: 2024-07-16 01:29:06
Score: 0 | Time: 2024-07-16 01:29:16
Score: 1 | Time: 2024-07-16 01:30:16
Score: 1 | Time: 2024-07-16 01:30:22
Score: 1 | Time: 2024-07-16 16:01:48
Score: 3 | Time: 2024-07-16 16:01:54
Score: 1 | Time: 2024-07-16 16:01:57
Score: 1 | Time: 2024-07-16 16:02:00
Score: 1 | Time: 2024-07-16 16:02:04
Score: 0 | Time: 2024-07-16 16:02:07
